epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1151.08,0,86.4071,0,0,0,0,0,0,113.318,0,0.000553129,0.000553129,0.000553129
2,3066.81,0,30.9827,0,0,0,0,0,0,25.8421,0,0.000999025,0.000999025,0.000999025
3,4214.54,0,5.40155,0,0,0,0,0,0,1.59061,0,0.0013349,0.0013349,0.0013349
4,11815.2,0,0.55155,0,0,0,0,0,0,0.11783,0,0.0011719,0.0011719,0.0011719
5,13128.2,0,0.02328,0,0,0,0,0,0,0.01289,0,0.00100687,0.00100687,0.00100687
6,14439.8,0,0.00488,0,0,0,0,0,0,0.00022,0,0.000841835,0.000841835,0.000841835
7,15731.7,0,0.00025,0,0,0,0,0,0,0.00016,0,0.000676802,0.000676802,0.000676802
8,17016.5,0,0,0,0,0,0,0,0,0.00109,0,0.000511769,0.000511769,0.000511769
9,18278.1,0,0,0,0,0,0,0,0,0.00247,0,0.000346736,0.000346736,0.000346736
10,19544,0,0,0,0,0,0,0,0,0.0024,0,0.000181703,0.000181703,0.000181703
